Drug Code,Drug Name,Drug Type (i.e Tablet),Unit Cost,System quantity,Re order levels,Packed Quantity
460,Promolut-N tabs,Tablet,0,0,0,1
461,Propofol inj (Troypofol) 40mg/ml,Tablet,0,0,0,1
462,propronolol 40mg,Tablet,0,0,0,1
463,Purecal tabs,Tablet,0,0,0,1
464,Pyridoxine 50mg ,Tablet,0,0,0,1
465,Quinine 300mg tabs,Tablet,0,0,0,1
466,Quinine inj,Tablet,0,0,0,1
467,Ranferon -12 syrup 200ml,Tablet,0,0,0,1
468,Ranferon caps,Tablet,0,0,0,1
469,Ranitidine 50mg  inj,Tablet,0,0,0,1
470,Relcer gel,Tablet,0,0,0,1
471,relif MR Tabs,Tablet,0,0,0,1
472,Relif Plus tabs,Tablet,0,0,0,1
473,Repace H tabs,Tablet,0,0,0,1
474,Rhinathiol  with promethazine,Tablet,0,0,0,1
475,Rhinithiol Adult 100mlExpect,Tablet,0,0,0,1
476,Rhinithiol Infants 100mlExpect,Tablet,0,0,0,1
477,rhinocort nasal Spray,Tablet,0,0,0,1
478,Rhizine 60ml syrup,Tablet,0,0,0,1
479,Rifampicin 300mg ,Tablet,0,0,0,1
480,Ringers Lactate 500ml,Tablet,0,0,0,1
481,Rivaxime 200mg 5's,Tablet,0,0,0,1
482,Rivaxime 400mg 5's,Tablet,0,0,0,1
483,Rivotril 0.5mg,Tablet,0,0,0,1
484,Rocephin 1g,Tablet,0,0,0,1
485,Rosuvastatin 10mg (Crestor),Tablet,0,0,0,1
486,Saferon plus tabs,Tablet,0,0,0,1
487,Saferon syrup,Tablet,0,0,0,1
488,Salbutamol 4mg,Tablet,0,0,0,1
489,Saline naline drops,Tablet,0,0,0,1
490,Satrogyl 300mg,Tablet,0,0,0,1
491,Senna (senokot),Tablet,0,0,0,1
492,Seprin Susp 100ml,Tablet,0,0,0,1
493,Septrin 480mg Iv,Tablet,0,0,0,1
494,Septrin DS tabs ,Tablet,0,0,0,1
495,seritide evohaler 25/250,Tablet,0,0,0,1
496,Sevenseas cod  100ml,Tablet,0,0,0,1
497,Sinemet (levodopa/carbidopa) 110mg,Tablet,0,0,0,1
498,Sitagliptin 50 mg,Tablet,0,0,0,1
499,Spinolactone 25mg generic,Tablet,0,0,0,1
500,Spiriva caps,Tablet,0,0,0,1
501,Spiriva caps with Handihaler,Tablet,0,0,0,1
502,Sterile Syringe 5cc,Tablet,0,0,0,1
503,Stugeron 25mg tabs,Tablet,0,0,0,1
504,Subsyde CR,Tablet,0,0,0,1
505,Subsyde gel 15g,Tablet,0,0,0,1
506,Sucrafil O gel 100ml,Tablet,0,0,0,1
507,supramox caps(flucloxacillin+ amoxicillin),Tablet,0,0,0,1
508,Susten 200mg Caps,Tablet,0,0,0,1
509,Suxamethonium Hcl 50mg/2ml,Tablet,0,0,0,1
510,Sylate 125mg inj,Tablet,0,0,0,1
511,Sylate 500mg ,Tablet,0,0,0,1
512,Symbicort 160/4.5ug,Tablet,0,0,0,1
513,Symbicort 320/4.5ug,Tablet,0,0,0,1
514,Symbicort 80/4.5ug,Tablet,0,0,0,1
515,Syngab (pregabalin) 100mg,Tablet,0,0,0,1
516,Syngab (pregabalin) 50mg,Tablet,0,0,0,1
517,Syringes 3cc,Tablet,0,0,0,1
518,T.E.O,Tablet,0,0,0,1
519,Takol CR,Tablet,0,0,0,1
520,Tegera forte 1g (secnidazole) tabs,Tablet,0,0,0,1
521,Tegretol 200mg tabs,Tablet,0,0,0,1
522,Telmi 80mg,Tablet,0,0,0,1
523,Telmisartan-40 (arbitel-H) H,Tablet,0,0,0,1
524,Terbasil 250mg (terbenafine),Tablet,0,0,0,1
525,terbasil cream (terbenafine),Tablet,0,0,0,1
526,Terbex 250 mg,Tablet,0,0,0,1
527,Thiopental inj,Tablet,0,0,0,1
528,Tramacetal,Tablet,0,0,0,1
529,Tramadol 100/2ml,Tablet,0,0,0,1
530,Tramadol 50mg tabs,Tablet,0,0,0,1
531,Tramadol 50mg/ml,Tablet,0,0,0,1
532,Tranexamic acid +mefenamic acid (TXMF),Tablet,0,0,0,1
533,Tranexamic acid 500mg INJ,Tablet,0,0,0,1
534,Tres-orix 100ml,Tablet,0,0,0,1
535,Tres-orix 250ml,Tablet,0,0,0,1
536,triamcinolone (Trinocort)40mg/ml,Tablet,0,0,0,1
537,Trimetazine 35mg(vastarel MR),Tablet,0,0,0,1
538,Triqkit,Tablet,0,0,0,1
539,TT,Tablet,0,0,0,1
540,Tuspel plain 100ml,Tablet,0,0,0,1
541,Uniactin 4mg,Tablet,0,0,0,1
542,Unisten HC cream,Tablet,0,0,0,1
543,Uriflow 100ml,Tablet,0,0,0,1
544,Vazkor 10mg(Amlodipine),Tablet,0,0,0,1
545,Venofer 100mg,Tablet,0,0,0,1
546,ventolin inhaler ,Tablet,0,0,0,1
547,Ventolin nebulizer,Tablet,0,0,0,1
548,Ventolin syrup,Tablet,0,0,0,1
549,Virux 400mg,Tablet,0,0,0,1
550,Vitamin K 10mg inj,Tablet,0,0,0,1
551,Vitamin K 2mg inj,Tablet,0,0,0,1
552,Volini gel 30g,Tablet,0,0,0,1
553,Vomitin 10mg supp,Tablet,0,0,0,1
554,Vomitin 30mg suusp,Tablet,0,0,0,1
555,warfarin 5mg,Tablet,0,0,0,1
556,Water for Inj 10ml,Tablet,0,0,0,1
557,Wokadine m/w,Tablet,0,0,0,1
558,Xatral 10mg,Tablet,0,0,0,1
559,Xtraderm cream,Tablet,0,0,0,1
560,Yasmin tabs ,Tablet,0,0,0,1
561,Yescort 6mg,Tablet,0,0,0,1
562,Zagole 100ml,Tablet,0,0,0,1
563,Zedcal OP Tabs,Tablet,0,0,0,1
564,Zedcal tabs,Tablet,0,0,0,1
565,Zentel (albendazole 400mg) tabs,Tablet,0,0,0,1
566,Zentel (albendazole) susp 10ml,Tablet,0,0,0,1
567,Zerodol CR tabs 200mg(aceclofenac) ,Tablet,0,0,0,1
568,Zinc Oxide oint,Tablet,0,0,0,1
569,Zinc sulphate 20mg,Tablet,0,0,0,1
570,Zincat-OD,Tablet,0,0,0,1
571,Zinnat 125mg susp 100ml,Tablet,0,0,0,1
572,Zinnat 125mg susp 50ml,Tablet,0,0,0,1
573,Zinnat 250mg susp 50ml,Tablet,0,0,0,1
574,Zinnat 500mg ,Tablet,0,0,0,1
575,Zithromax 30ml,Tablet,0,0,0,1
576,Zithromax 500mg(Azithromycin) tabs,Tablet,0,0,0,1
577,Zithromax susp (azitromycin) 15ml,Tablet,0,0,0,1
578,Zolocan 200mg,Tablet,0,0,0,1
579,Zyrtec 10mg tabs,Tablet,0,0,0,1
580,Zyrtec Syrup,Tablet,0,0,0,1
581,Coscof C syrup,Tablet,0,0,0,1
582,Cetrizet 10mg,Tablet,0,0,0,1
583,Rexidine M/W,Tablet,0,0,0,1
584,Rivaxime syrup 100ml,Tablet,0,0,0,1
585,Terbex cream,Tablet,0,0,0,1
586,Imdur 60mg,Tablet,0,0,0,1
587,Carvedilol 3.125mg,Tablet,0,0,0,1
588,Silver sulphadiazine cream,Tablet,0,0,0,1
589,Bupivacain 20mg generic,Tablet,0,0,0,1
590,Estovon softlets,Tablet,0,0,0,1
591,Xforge tabs,Tablet,0,0,0,1
592,tinidazole 500mg,Tablet,0,0,0,1
593,Albasol susp,Tablet,0,0,0,1
594,Aprazole plus-20,Tablet,0,0,0,1
595,Risedronate 35mg,Tablet,0,0,0,1
596,Rostat 10mg (Rusuvastatin),Tablet,0,0,0,1
597,Celecoxib 200mg (cox-B),Tablet,0,0,0,1
598,Mebevarin 200mg,Tablet,0,0,0,1
599,Candid B cream 30g,Tablet,0,0,0,1
600,Refresh Tears,Tablet,0,0,0,1
601,Maxtrol drops,Tablet,0,0,0,1
602,Tobrex drops,Tablet,0,0,0,1
603,ketolac eye drops,Tablet,0,0,0,1
604,Grabacin 10g powder,Tablet,0,0,0,1
605,Pharmasal ointment ,Tablet,0,0,0,1
606,Deep heat 35g,Tablet,0,0,0,1
607,Deep heat 15g,Tablet,0,0,0,1
608,Grabacin-3 ointment,Tablet,0,0,0,1
609,Ivysine eye drops,Tablet,0,0,0,1
610,Probeta-N drops,Tablet,0,0,0,1
611,ceprolen drops,Tablet,0,0,0,1
612,Cusicrom 4% drops,Tablet,0,0,0,1
613,Acyclo-Denk oint,Tablet,0,0,0,1
614,Deep heat spray ,Tablet,0,0,0,1
615,Tuspel Plus 100ml,Tablet,0,0,0,1
616,mucodil syrup,Tablet,0,0,0,1
617,Betadine pess,Tablet,0,0,0,1
618,Flucloxacillin 25omg,Tablet,0,0,0,1
619,Duphastone 10mg,Tablet,0,0,0,1
620,Vedrox 500mg,Tablet,0,0,0,1
621,Fluphanazine 25mg,Tablet,0,0,0,1
622,Konakion 10mg( vit k),Tablet,0,0,0,1
623,Normal saline nasal drops,Tablet,0,0,0,1
624,Gacet 500mg,Tablet,0,0,0,1
625,Regenovex caps,Tablet,0,0,0,1
626,Doloact gel,Tablet,0,0,0,1
627,Augupen 625mg,Tablet,0,0,0,1
628,Glucored forte tabs 5/500,Tablet,0,0,0,1
629,postinor -2 tabs,Tablet,0,0,0,1
630,Gabanerve tabs,Tablet,0,0,0,1
631,Amaryl 1mg,Tablet,0,0,0,1
632,Amaryl 4mg,Tablet,0,0,0,1
633,Bromocriptine 2.5mg,Tablet,0,0,0,1
634,Otrivine nasal drops,Tablet,0,0,0,1
635,Cabalin 75mg,Tablet,0,0,0,1
636,Clopress(clopidigrel),Tablet,0,0,0,1
637,Cefpodox 500mg(cefpodoxime),Tablet,0,0,0,1
638,Sinemet 250mg,Tablet,0,0,0,1
639,Supracal tats,Tablet,0,0,0,1
640,Febrex Syrup 60ml,Tablet,0,0,0,1
641,Anusol oint,Tablet,0,0,0,1
642,ATM Susp,Tablet,0,0,0,1
643,Diclucan 150mg,Tablet,0,0,0,1
644,Suprapen 500mg caps,Tablet,0,0,0,1
645,Ojen-OZ tabs,Tablet,0,0,0,1
646,Klacid 500mg,Tablet,0,0,0,1
647,Buscopan syrup 60ml,Tablet,0,0,0,1
648,Entamizole Susp 100ml,Tablet,0,0,0,1
649,Clindamycin 300mg caps,Tablet,0,0,0,1
650,Phyteral Shampoo,Tablet,0,0,0,1
651,Benylin Paed 100ml,Tablet,0,0,0,1
652,Vedrox 125mg Susp,Tablet,0,0,0,1
653,Fexofenadine 120mg,Tablet,0,0,0,1
654,Zedcal syrup,Tablet,0,0,0,1
655,Medimol,Tablet,0,0,0,1
656,Exevate Mf,Tablet,0,0,0,1
657,Erostin 60ml syrup,Tablet,0,0,0,1
658,Glucose 10% 500ml,Tablet,0,0,0,1
659,Castor Oil 100ml,Tablet,0,0,0,1
660,Xyzal (levocetirizine) 5mg,Tablet,0,0,0,1
661,Floxapen 500mg caps,Tablet,0,0,0,1
662,Olfen SR 100mg,Tablet,0,0,0,1
663,Tofen 1mg,Tablet,0,0,0,1
664,xatral 5mg,Tablet,0,0,0,1
665,Co-Artesian 120ml Susp,Tablet,0,0,0,1
666,Remidin M/w 100ml,Tablet,0,0,0,1
667,Valium 5mg ( D iazepam),Tablet,0,0,0,1
668,Meftal forte tabs,Tablet,0,0,0,1
669,Metoz 5mg,Tablet,0,0,0,1
670,Medical Charcoal ,Tablet,0,0,0,1
671,Anti Rabies Vaccine,Tablet,0,0,0,1
672,Cebactum 1.5g,Tablet,0,0,0,1
